date,adj_close,close,high,low,open,volume,kode_saham
2014-12-08,2246.477539,2655.0,2680.0,2645.0,2655.0,37435500,bbca
2014-12-09,2242.247314,2650.0,2680.0,2630.0,2660.0,38254000,bbca
2014-12-10,2250.708008,2660.0,2675.0,2630.0,2630.0,32998000,bbca
2014-12-11,2246.477539,2655.0,2675.0,2645.0,2660.0,54459500,bbca
2014-12-12,2242.247314,2650.0,2665.0,2640.0,2640.0,50302000,bbca
2014-12-15,2208.401367,2610.0,2620.0,2575.0,2600.0,94633000,bbca
2014-12-16,2174.556396,2570.0,2640.0,2565.0,2590.0,70763000,bbca
2014-12-17,2174.556396,2570.0,2610.0,2570.0,2600.0,51464000,bbca
2014-12-18,2195.709473,2595.0,2610.0,2585.0,2600.0,52271000,bbca
2014-12-19,2229.554688,2635.0,2650.0,2620.0,2630.0,83389500,bbca
2014-12-22,2212.632324,2615.0,2650.0,2615.0,2650.0,33301000,bbca
2014-12-23,2225.323975,2630.0,2640.0,2625.0,2640.0,21132000,bbca
2014-12-24,2233.7854,2640.0,2655.0,2635.0,2650.0,19135500,bbca
2014-12-29,2225.323975,2630.0,2650.0,2625.0,2630.0,24315000,bbca
2014-12-30,2221.093262,2625.0,2640.0,2615.0,2615.0,32338500,bbca
2015-01-02,2238.016357,2645.0,2655.0,2630.0,2655.0,29302500,bbca
2015-01-05,2233.7854,2640.0,2640.0,2625.0,2630.0,25434500,bbca
2015-01-06,2216.862305,2620.0,2640.0,2600.0,2600.0,48681500,bbca
2015-01-07,2221.093262,2625.0,2640.0,2610.0,2610.0,40334000,bbca
2015-01-08,2195.709473,2595.0,2630.0,2595.0,2625.0,54457000,bbca
2015-01-09,2187.247803,2585.0,2615.0,2585.0,2605.0,108957500,bbca
2015-01-12,2199.940186,2600.0,2600.0,2560.0,2585.0,81651000,bbca
2015-01-13,2199.940186,2600.0,2610.0,2595.0,2610.0,36024000,bbca
2015-01-14,2187.247803,2585.0,2605.0,2585.0,2605.0,29728000,bbca
2015-01-15,2191.47876,2590.0,2610.0,2590.0,2590.0,27580500,bbca
2015-01-16,2191.47876,2590.0,2605.0,2590.0,2605.0,46354500,bbca
2015-01-19,2199.940186,2600.0,2605.0,2595.0,2595.0,26134500,bbca
2015-01-20,2204.171143,2605.0,2610.0,2585.0,2595.0,36285500,bbca
2015-01-21,2212.632324,2615.0,2640.0,2605.0,2610.0,73258000,bbca
2015-01-22,2233.7854,2640.0,2645.0,2610.0,2610.0,58654000,bbca
2015-01-23,2254.938721,2665.0,2680.0,2645.0,2645.0,121011000,bbca
2015-01-26,2225.323975,2630.0,2680.0,2605.0,2665.0,103089000,bbca
2015-01-27,2233.7854,2640.0,2645.0,2625.0,2630.0,49988500,bbca
2015-01-28,2246.477539,2655.0,2665.0,2630.0,2635.0,48230000,bbca
2015-01-29,2254.938721,2665.0,2665.0,2640.0,2650.0,41599500,bbca
2015-01-30,2263.400146,2675.0,2685.0,2665.0,2680.0,94142500,bbca
2015-02-02,2259.169434,2670.0,2675.0,2650.0,2670.0,38816500,bbca
2015-02-03,2284.553467,2700.0,2700.0,2670.0,2675.0,67046500,bbca
2015-02-04,2352.243896,2780.0,2800.0,2695.0,2705.0,136306000,bbca
2015-02-05,2318.398438,2740.0,2785.0,2675.0,2780.0,83923500,bbca
2015-02-06,2318.398438,2740.0,2760.0,2730.0,2755.0,54060500,bbca
2015-02-09,2335.321045,2760.0,2780.0,2700.0,2700.0,68609000,bbca
2015-02-10,2326.860352,2750.0,2780.0,2730.0,2775.0,50540500,bbca
2015-02-11,2356.474121,2785.0,2785.0,2740.0,2755.0,46471500,bbca
2015-02-12,2352.243896,2780.0,2790.0,2770.0,2785.0,58455500,bbca
2015-02-13,2373.396973,2805.0,2850.0,2795.0,2800.0,90653500,bbca
2015-02-16,2369.166016,2800.0,2835.0,2800.0,2810.0,30501000,bbca
2015-02-17,2381.858643,2815.0,2825.0,2800.0,2800.0,47945000,bbca
2015-02-18,2381.858643,2815.0,2910.0,2800.0,2840.0,57782000,bbca
2015-02-20,2377.627441,2810.0,2865.0,2810.0,2860.0,25162000,bbca
2015-02-23,2373.396973,2805.0,2845.0,2795.0,2815.0,55871500,bbca
2015-02-24,2377.627441,2810.0,2815.0,2785.0,2810.0,46482000,bbca
2015-02-25,2386.0896,2820.0,2835.0,2800.0,2800.0,39573000,bbca
2015-02-26,2381.858643,2815.0,2835.0,2795.0,2795.0,63400500,bbca
2015-02-27,2386.0896,2820.0,2830.0,2800.0,2800.0,91257500,bbca
2015-03-02,2407.241943,2845.0,2860.0,2820.0,2830.0,105783500,bbca
2015-03-03,2436.856934,2880.0,2915.0,2865.0,2870.0,100166000,bbca
2015-03-04,2441.087891,2885.0,2915.0,2875.0,2900.0,61321500,bbca
2015-03-05,2453.779297,2900.0,2930.0,2895.0,2900.0,63347500,bbca
2015-03-06,2470.701904,2920.0,2935.0,2900.0,2900.0,84722000,bbca
2015-03-09,2432.626221,2875.0,2895.0,2820.0,2880.0,75837500,bbca
2015-03-10,2441.087891,2885.0,2905.0,2850.0,2880.0,56405500,bbca
2015-03-11,2415.703613,2855.0,2875.0,2845.0,2850.0,86270500,bbca
2015-03-12,2403.011963,2840.0,2855.0,2830.0,2845.0,57496500,bbca
2015-03-13,2386.0896,2820.0,2855.0,2810.0,2840.0,79901500,bbca
2015-03-16,2394.549805,2830.0,2865.0,2805.0,2805.0,60353500,bbca
2015-03-17,2386.0896,2820.0,2860.0,2820.0,2855.0,50729500,bbca
2015-03-18,2407.241943,2845.0,2850.0,2820.0,2820.0,52346500,bbca
2015-03-19,2411.472656,2850.0,2870.0,2835.0,2860.0,58573500,bbca
2015-03-20,2424.164551,2865.0,2895.0,2835.0,2835.0,104343000,bbca
2015-03-23,2445.318848,2890.0,2910.0,2880.0,2880.0,44297500,bbca
2015-03-24,2462.240967,2910.0,2935.0,2900.0,2910.0,64996000,bbca
2015-03-25,2474.932861,2925.0,2950.0,2900.0,2910.0,36811000,bbca
2015-03-26,2458.010254,2905.0,2945.0,2895.0,2900.0,71972500,bbca
2015-03-27,2445.318848,2890.0,2905.0,2875.0,2895.0,69993000,bbca
2015-03-30,2453.779297,2900.0,2930.0,2890.0,2890.0,50985500,bbca
2015-03-31,2508.77832,2965.0,2965.0,2935.0,2960.0,85598000,bbca
2015-04-01,2508.77832,2965.0,2985.0,2955.0,2975.0,42093500,bbca
2015-04-02,2504.547852,2960.0,2985.0,2945.0,2985.0,42424000,bbca
2015-04-06,2568.007324,3035.0,3090.0,2955.0,2960.0,71232500,bbca
2015-04-07,2589.160156,3060.0,3120.0,3055.0,3095.0,58844000,bbca
2015-04-08,2542.623779,3005.0,3030.0,2980.0,3015.0,86916000,bbca
2015-04-09,2551.084473,3015.0,3040.0,2990.0,3015.0,68708000,bbca
2015-04-10,2546.854004,3010.0,3045.0,2990.0,3040.0,56706000,bbca
2015-04-13,2542.623779,3005.0,3015.0,2995.0,3005.0,41635500,bbca
2015-04-14,2529.930908,2990.0,3025.0,2985.0,3000.0,80112500,bbca
2015-04-15,2496.086182,2950.0,2990.0,2930.0,2980.0,108377000,bbca
2015-04-16,2521.470215,2980.0,2985.0,2935.0,2960.0,93601500,bbca
2015-04-17,2512.612061,2950.0,2980.0,2950.0,2980.0,129331500,bbca
